Company,Contact,Genres,Name,Submission
Indiemono,,All,Carlos,https://fanlink.to/indiemonopages
Soundplate,,,,
Playlist Push,,,,https://playlistpush.com
Stellar Trigger Marketing,,,,https://stellartriggermarketing.com
Playlist Supply,,,,https://playlistsupply.com
